53.11,26.54,4.28
248.61,48.06,53.29
401.78,74.01,87.97
209.68,89.58,13.79
177.34,44.75,32.32
199.11,10.74,62.88
127.31,23.36,29.98
348.65,83.94,62.40
485.49,94.02,99.99
235.19,29.17,62.03
403.48,51.81,99.51
443.20,89.81,91.80
277.67,61.96,52.28
145.74,53.79,15.17
121.01,2.06,41.92
149.77,66.39,12.72
392.42,88.79,72.43
306.77,37.36,78.23
284.19,89.04,38.99
171.18,17.29,48.56
424.32,69.59,96.39
267.14,94.98,28.85
451.78,79.03,99.64
93.35,32.88,14.63
138.86,22.10,36.56
272.93,8.74,86.68
465.17,84.18,99.78
388.94,99.04,65.74
105.82,41.87,14.24
237.99,75.02,32.79
32.55,8.12,9.31
123.63,1.55,42.02
242.06,30.34,62.90
383.19,42.15,99.30
319.46,95.39,47.88
268.04,41.34,64.28
375.31,97.77,63.18
223.18,66.69,32.82
289.43,26.75,79.91
305.15,70.97,55.51
218.47,88.13,19.33
421.72,61.53,99.73
324.96,93.44,49.26
232.06,53.22,46.06
257.65,14.99,78.78
244.38,80.14,31.79
232.54,43.76,51.01
414.00,99.62,75.24
136.19,49.12,17.75
29.56,1.48,9.70
