568.04,41.97,42.30,48.21,39.46,41.87,14.03,38.99,1.17,45.28
245.89,17.29,6.58,18.06,19.38,10.74,15.17,13.79,1.82,23.36
438.25,32.32,12.54,32.88,29.98,2.06,41.92,12.72,1.45,26.54
235.39,48.56,1.45,14.63,2.78,1.55,42.02,15.17,4.82,22.10
414.99,4.28,9.75,36.56,29.98,2.06,41.92,12.72,1.45,44.75
390.81,62.88,11.23,14.63,2.78,1.55,42.02,15.17,4.82,29.17
527.18,29.98,9.75,36.56,29.98,2.06,41.92,12.72,1.45,48.06
442.22,62.40,1.82,14.63,2.78,1.55,42.02,15.17,4.82,37.36
373.13,99.99,4.82,36.56,29.98,2.06,41.92,12.72,1.45,10.74
260.67,62.03,11.23,14.63,2.78,1.55,42.02,15.17,4.82,8.74
699.51,99.51,4.82,36.56,29.98,2.06,41.92,12.72,1.45,51.81
713.43,91.80,1.45,14.63,2.78,1.55,42.02,15.17,4.82,89.81
368.17,52.28,9.75,36.56,29.98,2.06,41.92,12.72,1.45,61.96
115.34,15.17,11.23,14.63,2.78,1.55,42.02,15.17,4.82,53.79
-72.96,41.92,4.82,36.56,29.98,2.06,41.92,12.72,1.45,2.06
-11.39,12.72,1.45,14.63,2.78,1.55,42.02,15.17,4.82,66.39
459.78,72.43,9.75,36.56,29.98,2.06,41.92,12.72,1.45,88.79
463.38,78.23,11.23,14.63,2.78,1.55,42.02,15.17,4.82,37.36
269.81,38.99,4.82,36.56,29.98,2.06,41.92,12.72,1.45,89.04
222.18,48.56,1.45,14.63,2.78,1.55,42.02,15.17,4.82,17.29
654.49,96.39,9.75,36.56,29.98,2.06,41.92,12.72,1.45,69.59
253.56,28.85,11.23,14.63,2.78,1.55,42.02,15.17,4.82,94.98
760.67,99.64,4.82,36.56,29.98,2.06,41.92,12.72,1.45,79.03
179.99,14.63,1.45,14.63,2.78,1.55,42.02,15.17,4.82,32.88
188.76,36.56,9.75,36.56,29.98,2.06,41.92,12.72,1.45,22.10
232.88,86.68,11.23,14.63,2.78,1.55,42.02,15.17,4.82,8.74
820.54,99.78,4.82,36.56,29.98,2.06,41.92,12.72,1.45,84.18
461.35,65.74,1.45,14.63,2.78,1.55,42.02,15.17,4.82,99.04
173.13,14.24,9.75,36.56,29.98,2.06,41.92,12.72,1.45,41.87
260.81,32.79,11.23,14.63,2.78,1.55,42.02,15.17,4.82,75.02
-125.75,9.31,4.82,36.56,29.98,2.06,41.92,12.72,1.45,8.12
18.88,42.02,1.45,14.63,2.78,1.55,42.02,15.17,4.82,1.55
215.34,62.90,9.75,36.56,29.98,2.06,41.92,12.72,1.45,30.34
562.81,99.30,11.23,14.63,2.78,1.55,42.02,15.17,4.82,42.15
335.54,47.88,4.82,36.56,29.98,2.06,41.92,12.72,1.45,95.39
328.69,64.28,1.45,14.63,2.78,1.55,42.02,15.17,4.82,41.34
404.38,63.18,9.75,36.56,29.98,2.06,41.92,12.72,1.45,97.77
288.76,32.82,11.23,14.63,2.78,1.55,42.02,15.17,4.82,66.69
294.54,79.91,4.82,36.56,29.98,2.06,41.92,12.72,1.45,26.75
339.69,55.51,1.45,14.63,2.78,1.55,42.02,15.17,4.82,70.97
243.63,19.33,9.75,36.56,29.98,2.06,41.92,12.72,1.45,88.13
647.28,99.73,11.23,14.63,2.78,1.55,42.02,15.17,4.82,61.53
360.20,49.26,4.82,36.56,29.98,2.06,41.92,12.72,1.45,93.44
252.18,46.06,1.45,14.63,2.78,1.55,42.02,15.17,4.82,53.22
237.13,78.78,9.75,36.56,29.98,2.06,41.92,12.72,1.45,14.99
241.11,31.79,11.23,14.63,2.78,1.55,42.02,15.17,4.82,80.14
247.96,51.01,4.82,36.56,29.98,2.06,41.92,12.72,1.45,43.76
489.17,75.24,1.45,14.63,2.78,1.55,42.02,15.17,4.82,99.62
127.46,17.75,9.75,36.56,29.98,2.06,41.92,12.72,1.45,49.12
-125.61,9.70,11.23,14.63,2.78,1.55,42.02,15.17,4.82,1.48
