103.55,8.85,34.54
224.97,52.21,68.96
115.65,71.01,2.02
321.05,71.69,82.26
230.15,92.51,33.02
-115.22,33.78,2.77
245.89,7.69,83.18
461.35,97.77,88.75
147.11,81.16,11.33
213.91,62.15,68.80
210.87,83.65,27.18
110.19,8.44,75.45
207.82,61.94,84.05
-37.33,39.12,2.41
405.02,89.17,73.88
456.63,95.28,88.72
-135.25,18.97,4.82
53.11,7.88,81.68
-116.32,15.60,11.25
251.58,59.36,69.18
262.29,90.42,59.60
-206.35,3.16,3.95
284.11,81.81,80.12
519.34,80.82,99.42
137.93,7.18,87.09
322.01,69.57,98.33
-212.18,28.60,4.88
-104.97,3.97,41.97
55.33,94.27,10.79
413.56,65.86,90.46
-220.67,2.76,7.59
15.26,8.53,60.85
144.37,75.46,27.11
-125.75,46.72,13.43
329.81,91.24,53.51
70.16,21.43,84.22
-123.61,4.52,50.19
31.18,91.73,3.15
-81.16,5.36,65.66
-168.96,25.93,17.43
29.54,48.01,48.19
-143.02,2.33,48.86
-214.15,4.01,2.05
206.49,94.02,32.41
415.57,75.49,94.33
-112.55,8.15,10.37
-98.85,73.91,3.48
-192.05,27.02,2.03
37.11,9.45,71.01
12.91,65.33,35.79
