453.86,92.51,63.02,81.16
226.70,3.77,65.22,33.78
318.51,83.18,17.11,7.69
527.18,88.75,81.35,97.77
196.88,11.33,32.80,81.16
290.00,68.80,18.91,62.15
168.96,27.18,10.87,83.65
149.33,5.45,45.43,8.44
371.32,84.05,37.82,61.94
99.63,2.41,27.33,39.12
460.53,73.88,72.02,89.17
479.52,88.72,78.63,95.28
-7.14,4.82,4.88,18.97
262.29,81.68,11.68,7.88
87.95,11.25,26.25,15.60
336.19,69.18,41.58,59.36
304.09,59.60,29.29,90.42
-72.27,3.95,1.35,3.16
499.07,80.12,80.11,81.81
521.28,99.42,79.34,80.82
273.70,87.09,13.93,7.18
556.88,98.33,82.01,69.57
49.20,4.88,12.18,28.60
114.65,41.97,14.97,3.97
209.78,10.79,35.33,94.27
454.49,90.46,63.56,65.86
27.57,7.59,2.59,2.76
188.76,60.85,15.26,8.53
232.88,27.11,44.37,75.46
123.63,13.43,34.25,46.72
359.88,53.51,69.81,91.24
277.10,84.22,10.16,21.43
143.51,50.19,13.61,4.52
217.43,3.15,41.18,91.73
145.54,65.66,6.16,5.36
57.29,17.43,1.96,25.93
179.99,48.19,19.54,48.01
114.77,48.86,23.02,2.33
-81.83,2.05,2.15,4.01
312.56,32.41,56.49,94.02
463.38,94.33,75.57,75.49
-36.98,10.37,12.55,8.15
175.76,3.48,38.85,73.91
49.82,2.03,12.05,27.02
224.22,71.01,17.11,9.45
222.18,35.79,42.91,65.33
303.49,62.13,52.54,3.31
274.15,81.85,15.89,33.25
131.78,3.95,38.44,53.83
260.67,18.41,55.94,84.64
